tSec,cpuSec,workingSetMb,privateMb,threads,handles
0,4.7,107.5,118.4,12,209
5,4.75,107.7,118.5,14,224
10.1,4.88,108,122.9,14,238
15.1,5.14,117.9,128.5,14,255
20.1,5.52,124.9,135.5,14,271
25.1,5.92,124.9,135.5,14,286
30.1,6.48,131.1,142.4,14,288
35.1,6.88,132.1,143.2,14,288
40.1,7.12,134,144.5,14,287
45.1,7.38,134.1,144.5,14,287
50.1,7.62,130.1,140.9,14,285
55.1,7.72,130.2,140.9,14,285
60.1,7.89,130.1,140.9,14,285
65.2,8.03,127.4,137.8,14,283
70.2,8.23,129.8,140.7,14,283
75.2,8.39,131.3,142.2,13,283
80.2,8.59,131.4,142.2,13,282
85.2,8.7,131.7,142.2,13,282
90.2,8.92,134.2,145.5,13,282
95.2,9,134.2,145.5,13,282
100.2,9.08,128.8,139.4,13,280
105.2,9.19,134.9,145.6,13,280
110.2,9.22,134.9,145.6,13,280
115.2,9.25,134.9,145.6,13,280
120.2,9.28,135,145.6,13,209
125.3,9.3,135,145.6,13,209
130.3,9.3,135,145.6,13,209
135.3,9.34,135,145.6,13,209
140.3,9.39,135,145.6,12,209
145.3,9.42,135,145.6,12,209
